Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Door_To_Diag_Eval_2016,Door_To_Diag_Eval_2015,Door_To_Diag_Eval_2014,Door_To_Diag_Eval_2013,Always_Quiet_Night_2016,Always_Quiet_Night_2015,Always_Quiet_Night_2014,Always_Quiet_Night_2013,Always_Quiet_Night_2012,Always_Quiet_Night_2011,Always_Quiet_Night_2010,Always_Quiet_Night_2009,Always_Quiet_Night_2008,Sometimes_Quiet_2016,Sometimes_Quiet_2015,Sometimes_Quiet_Night_2014,Sometimes_Quiet_Night_2013,Sometimes_Quiet_Night_2012,Sometimes_Quiet_Night_2011,Sometimes_Quiet_Night_2010,Sometimes_Quiet_Night_2009,Sometimes_Quiet_Night_2008,Usually_Quiet_2016,Usually_Quiet_2015,Usually_Quiet_2014,Usually_Quiet_2013,Usually_Quiet_2012,Usually_Quiet_2011,Usually_Quiet_2010,Usually_Quiet_2009,Usually_Quiet_2008,Hospital_Rating_Low_2016,Hospital_Rating_Low_2015,Hospital_Rating_Low_2014,Hospital_Rating_Low_2013,Hospital_Rating_Low_2012,Hospital_Rating_Low_2011,Hospital_Rating_Low_2010,Hospital_Rating_Low_2009,Hospital_Rating_Low_2008,Hospital_Rating_Medium_2016,Hospital_Rating_Medium_2015,Hospital_Rating_Medium_2014,Hospital_Rating_Medium_2013,Hospital_Rating_Medium_2012,Hospital_Rating_Medium_2011,Hospital_Rating_Medium_2010,Hospital_Rating_Medium_2009,Hospital_Rating_Medium_2008,Hospital_Rating_High_2016,Hospital_Rating_High_2015,Hospital_Rating_High_2014,Hospital_Rating_High_2013,Hospital_Rating_High_2012,Hospital_Rating_High_2011,Hospital_Rating_High_2010,Hospital_Rating_High_2009,Hospital_Rating_High_2008,Recommend_Yes_2016,Recommend_Yes_2015,Recommend_Yes_2014,Recommend_Yes_2013,Recommend_Yes_2012,Recommend_Yes_2011,Recommend_Yes_2010,Recommend_Yes_2009,Recommend_Yes_2008,Recommend_Probably_2016,Recommend_Probably_2015,Recommend_Probably_2014,Recommend_Probably_2013,Recommend_Probably_2012,Recommend_Probably_2011,Recommend_Probably_2010,Recommend_Probably_2009,Recommend_Probably_2008,Recommend_No_2016,Recommend_No_2015,Recommend_No_2014,Recommend_No_2013,Recommend_No_2012,Recommend_No_2011,Recommend_No_2010,Recommend_No_2009,Recommend_No_2008
140001,GRAHAM HOSPITAL ASSOCIATION,210 WEST WALNUT STREET,CANTON,IL,61520,FULTON,3096475240,12,14,14,13,56,61,56,,,,,,,10,8,12,,,,,,,34,31,32,,,,,,,6,7,7,,,,,,,25,23,26,,,,,,,69,70,67,,,,,,,63,68,65,,,,,,,33,28,32,,,,,,,4,4,3,,,,,,
140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,MADISON,6184637300,40,47,22,40,63,61,65,,,,,,,7,11,8,,,,,,,30,30,27,,,,,,,5,5,6,,,,,,,24,21,20,,,,,,,71,74,74,,,,,,,71,76,76,,,,,,,26,20,21,,,,,,,3,4,3,,,,,,
140007,PRESENCE SAINT JOSEPH MEDICAL CENTER,333 N MADISON,JOLIET,IL,60435,WILL,8157257133,41,41,32,41,69,61,61,,,,,,,5,7,8,,,,,,,26,28,31,,,,,,,8,8,8,,,,,,,18,17,27,,,,,,,74,75,65,,,,,,,69,68,68,,,,,,,25,28,26,,,,,,,6,4,6,,,,,,
140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,701 WEST NORTH AVE,MELROSE PARK,IL,60160,COOK,7084504924,44,59,97,64,55,61,50,,,,,,,13,12,16,,,,,,,32,34,34,,,,,,,12,11,12,,,,,,,26,28,30,,,,,,,62,61,58,,,,,,,62,61,61,,,,,,,29,32,31,,,,,,,9,7,8,,,,,,
140010,EVANSTON HOSPITAL,2650 RIDGE AVE,EVANSTON,IL,60201,COOK,8474328000,47,52,46,44,57,61,53,,,,,,,10,10,12,,,,,,,33,34,35,,,,,,,6,7,6,,,,,,,21,22,22,,,,,,,73,71,72,,,,,,,77,74,77,,,,,,,19,22,20,,,,,,,4,4,3,,,,,,
140011,HERRIN HOSPITAL,201 S 14TH ST,HERRIN,IL,62948,WILLIAMSON,6189422171,31,44,37,33,59,61,60,,,,,,,9,7,11,,,,,,,32,30,29,,,,,,,8,5,8,,,,,,,21,19,19,,,,,,,71,76,73,,,,,,,76,78,78,,,,,,,20,19,18,,,,,,,4,3,4,,,,,,
140012,KATHERINE SHAW BETHEA HOSPITAL,403 E 1ST ST,DIXON,IL,61021,LEE,8152885531,26,32,40,34,60,61,58,,,,,,,6,7,9,,,,,,,34,30,33,,,,,,,5,5,7,,,,,,,21,19,22,,,,,,,74,76,71,,,,,,,67,74,73,,,,,,,28,23,24,,,,,,,5,3,3,,,,,,
140013,PROCTOR HOSPITAL,5409 N KNOXVILLE AVE,PEORIA,IL,61614,PEORIA,3096911000,15,18,19,28,49,61,61,,,,,,,13,10,8,,,,,,,38,32,31,,,,,,,8,9,8,,,,,,,22,20,23,,,,,,,70,71,69,,,,,,,71,73,72,,,,,,,22,21,22,,,,,,,7,6,6,,,,,,
140015,BLESSING HOSPITAL,BROADWAY AT 11TH STREET,QUINCY,IL,62301,ADAMS,2172235811,28,21,22,33,62,61,55,,,,,,,7,11,9,,,,,,,31,32,36,,,,,,,6,6,6,,,,,,,21,23,23,,,,,,,73,71,71,,,,,,,70,67,70,,,,,,,27,29,27,,,,,,,3,4,3,,,,,,
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7732576751,71,80,78,79,57,61,58,,,,,,,17,14,12,,,,,,,26,24,30,,,,,,,15,14,13,,,,,,,31,31,28,,,,,,,54,55,59,,,,,,,52,56,60,,,,,,,37,34,32,,,,,,,11,10,8,,,,,,
